timestamp,open,high,low,close,volume
2021-03-17,128.4600,129.4900,127.4900,129.0300,4291351
2021-03-16,128.2800,128.5200,127.3400,128.2400,4653178
2021-03-15,127.7700,128.7500,127.5401,128.5800,3421281
2021-03-12,127.1900,127.6800,126.6100,127.6100,4010100
2021-03-11,128.0900,128.6400,126.7800,127.1400,5146937
2021-03-10,125.0500,128.2400,124.6100,127.8700,7247807
2021-03-09,125.4000,126.4300,124.1600,124.1800,5609029
2021-03-08,122.9900,126.8500,122.8800,124.8100,7239191
2021-03-05,120.6400,123.7500,120.2500,122.8300,6949265
2021-03-04,122.0000,123.2200,118.7550,120.1100,8068492
2021-03-03,120.5000,122.6340,119.9800,122.3600,7404269
2021-03-02,120.7400,121.9000,120.2600,120.3300,4524299
2021-03-01,120.3500,122.3200,119.8649,120.7400,5715767
2021-02-26,122.2500,122.2500,118.8800,118.9300,8868848
2021-02-25,123.3700,124.3500,122.3350,122.4700,5672671
2021-02-24,120.8000,123.4900,120.5200,123.2100,5819983
2021-02-23,120.9200,121.3500,119.8000,120.7100,4531464
2021-02-22,118.5000,121.1250,118.4400,120.8600,5838841
2021-02-19,120.7500,120.7600,118.3800,118.9900,6578741
2021-02-18,120.5000,120.9400,119.7000,120.7300,5399145
2021-02-17,119.2700,120.5600,119.0200,119.9700,3949876
2021-02-16,120.1500,120.6000,119.3600,120.0700,6639790
2021-02-12,121.0000,121.3600,120.0900,120.8000,3871195
2021-02-11,122.0000,122.2050,120.6300,120.9100,5381556
2021-02-10,123.0300,123.4100,121.2138,122.2400,4831858
2021-02-09,121.9000,122.5953,121.0500,122.1000,4661655
2021-02-08,122.6200,123.9767,122.4000,123.6100,5887999
2021-02-05,121.0000,121.8100,120.5200,121.7900,4565727
2021-02-04,119.9100,121.1000,118.8700,121.0200,4562124
2021-02-03,119.0400,119.8000,118.1200,119.1200,6715366
2021-02-02,119.3600,121.0000,119.2800,119.4400,6311881
2021-02-01,119.9000,120.9500,118.7300,120.5400,6250508
2021-01-29,120.2200,121.3000,118.9000,119.1100,11825496
2021-01-28,122.8000,123.2000,120.0700,120.0800,8084051
2021-01-27,122.0800,124.7900,121.6214,122.4700,12146541
2021-01-26,119.1800,122.5900,118.4200,122.4900,10694708
2021-01-25,118.7624,119.5380,117.4500,118.5800,13686391
2021-01-22,120.7000,120.7000,117.3600,118.6100,38063533
2021-01-21,130.1200,132.2400,130.0500,131.6500,12819233
2021-01-20,129.7000,131.0600,128.5600,130.0800,5598705
2021-01-19,129.2800,129.5900,128.0885,129.0200,5397956
2021-01-15,128.2800,129.2400,127.6700,128.3900,4905506
2021-01-14,128.0200,130.1600,127.5500,128.9700,7503180
2021-01-13,129.1500,129.7500,126.4550,126.9200,7677739
2021-01-12,129.0900,129.8500,127.9400,129.2100,3729068
2021-01-11,127.9500,129.6750,127.6600,128.5800,5602466
2021-01-08,128.5700,129.3200,126.9800,128.5300,4676487
2021-01-07,130.0400,130.4600,128.2600,128.9900,4507382
2021-01-06,126.9000,131.8800,126.7200,129.2900,7956740
2021-01-05,125.0100,126.6800,124.6100,126.1400,6114619
2021-01-04,125.8500,125.9174,123.0400,123.9400,5179161
2020-12-31,124.2200,126.0300,123.9900,125.8800,3574696
2020-12-30,123.8000,124.8500,123.6300,124.3400,3380494
2020-12-29,125.3500,125.4800,123.2400,123.8000,3487007
2020-12-28,125.1000,126.6000,124.4600,124.8200,3583222
2020-12-24,125.0000,125.1000,124.2100,124.6900,1761122
2020-12-23,123.8800,125.2100,123.7400,123.9000,2693889
2020-12-22,123.3100,124.2200,122.4100,123.6100,4337757
2020-12-21,123.9700,124.1800,121.7200,123.3900,6115671
2020-12-18,125.5900,126.4000,124.9700,125.8500,7552845
2020-12-17,126.0800,126.0900,124.9100,125.5500,3787962
2020-12-16,125.9300,126.5728,125.2860,125.5500,4530096
2020-12-15,124.3900,125.9300,123.4400,125.9300,4359601
2020-12-14,125.3200,126.2435,123.4700,123.5300,5050023
